"id_recinto";"nombre";"direccion";"id_localidad";"created_at";"updated_at"
"1";"(Cárcel) Penitenciaria Arani";"N/A";"1";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"2";"Escuela Gualberto Villarroel (Arani)";"N/A";"1";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"3";"U.E. Arani";"N/A";"1";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"4";"Unidad Educativa Collpaciaco";"N/A";"2";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"5";"Escuela Mixta Pocoata";"N/A";"3";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"6";"U.E. Serrano";"N/A";"4";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"7";"U.E. David Morato Cañadas";"N/A";"5";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"8";"Unidad Educativa Totorapampa";"N/A";"6";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"9";"Escuela Seccional Rodeo A";"N/A";"7";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"10";"Escuela Experimental Vacas";"N/A";"8";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"11";"Escuela Nataniel Aguirre";"N/A";"9";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"12";"Unidad Educativa Changolla";"N/A";"10";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"13";"U.E. San Pedro";"N/A";"11";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"14";"U.E. Julio Dario Dazzi";"N/A";"12";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"15";"U.E. Dña. Adela Zamudio";"N/A";"13";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"16";"Escuela E Internado Dario Antezana V.";"N/A";"14";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"17";"Escuela Juana Azurduy   Pongo K'Asa";"N/A";"15";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"18";"Unidad Escolar Tupac Katari   Tarujayña";"N/A";"16";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"19";"Escuela Marcelo Quiroga Santa Cruz";"N/A";"17";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"20";"Escuela Vicente Donoso (Aguas Calientes)";"N/A";"18";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"21";"Unidad Educativa Auquipampa";"N/A";"19";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"22";"U.E. Tupac Katari";"N/A";"20";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"23";"U.E. Genoveva Rios (Tacopaya)";"N/A";"21";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"24";"Unidad Educativa Aniceto Arce";"N/A";"22";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"25";"U.E. Adolfo Mercado";"N/A";"23";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"26";"Escuela Elizardo Perez (Totorapampa)";"N/A";"24";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"27";"Escuela Martin Cardenas (Tujuta)";"N/A";"25";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"28";"Escuela Seccional Rene Barrientos";"N/A";"26";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"29";"U. E. 12 de Abril";"N/A";"27";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"30";"U. E. Ascasivi";"N/A";"28";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"31";"Escuela Mariano Baptista (Calchani)";"N/A";"29";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"32";"U.E. Karhuani";"N/A";"30";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"33";"U.E. Chamacoma";"N/A";"31";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"34";"Unidad Educativa Charahuaytu";"N/A";"32";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"35";"Unidad Educativa Chapisuyo A";"N/A";"33";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"36";"U. E. Qhulaya";"N/A";"34";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"37";"U.E. Marcelo Quiroga Santa Cruz (Ayopaya)";"N/A";"35";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"38";"U.E. Constantino Velasco";"N/A";"36";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"39";"U. E. Cotani";"N/A";"37";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"40";"U. E. Cuesta Cuchu";"N/A";"38";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"41";"Colegio Simon Bolivar Fe y Alegria";"N/A";"39";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"42";"U.E. Jose Miguel Lanza";"N/A";"40";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"43";"U. E. Lirimani";"N/A";"41";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"44";"U. E. Llajma";"N/A";"42";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"45";"Unidad Educativa Machaca";"N/A";"43";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"46";"U.E. Julian Apaza de Pocanchi";"N/A";"44";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"47";"Unidad Educativa Sisi Palermo";"N/A";"45";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"48";"Unidad Educativa Tapaza";"N/A";"46";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"49";"Unidad Educativa Sabino Wallku";"N/A";"47";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"50";"Unidad Educativa Villa Pucara";"N/A";"48";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"51";"Escuela Pedro Domingo Murillo  Calientes";"N/A";"49";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"52";"Unidad Educativa Chiaraje";"N/A";"50";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"53";"Nucleo German Busch (Chillavi)";"N/A";"51";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"54";"Colegio Secundario Cocapata";"N/A";"52";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"55";"Unidad Educativa Colorado";"N/A";"53";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"56";"Unidad Educativa El Chorito";"N/A";"54";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"57";"Escuela 15 de Febrero (El Choro)";"N/A";"55";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"58";"Escuela Choquecamata (Falsuri)";"N/A";"56";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"59";"U.E. Huajchamayu";"N/A";"57";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"60";"Unidad Educativa Icari";"N/A";"58";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"61";"U.E. Juan Arrutia";"N/A";"59";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
"62";"U.E. Lagunillas";"N/A";"60";"2026-03-06 00:00:00";"2026-03-06 00:00:00"
